gene_id	limma_logFC	limma_AveExpr	limma_t	limma_pvalue	limma_padj	limma_B	ensembl_gene_id	limma_significant
ENSG00000186642	1.6883533003707953	1.235804084735556	4.814332817758019	2.735416805843721e-5	3.133405809352741e-4	2.411854941319822	ENSG00000186642	upregulated
ENSG00000104970	1.34186088223713	0.9659677235865232	4.802489286733236	2.788582022654595e-5	3.1802137626009387e-4	2.4092842684333498	ENSG00000104970	upregulated
ENSG00000109339	1.3997087152626533	-0.2730118182062975	4.78990488955807	2.896950267676388e-5	3.274871616616511e-4	2.433639065263444	ENSG00000109339	upregulated
ENSG00000152931	-1.0134622518828813	-0.230186488516488	-4.787445911637016	2.9186070863383895e-5	3.2921887933897034e-4	2.426040281591849	ENSG00000152931	downregulated
ENSG00000146054	1.2902206343167917	2.595701500481396	4.792172434187665	2.9247955332426058e-5	3.2967717093454084e-4	2.198388253222417	ENSG00000146054	upregulated
ENSG00000224746	1.1783446490132539	-0.45827193417502765	4.783903847565531	2.9500848493468342e-5	3.3156388415485073e-4	2.420041147159873	ENSG00000224746	upregulated
ENSG00000110777	1.1939660860540435	4.292966373441804	4.787059333827333	3.0036403511783887e-5	0.00033612165834615303	1.919329545020732	ENSG00000110777	upregulated
ENSG00000268758	-1.6476389295314888	0.9525695995780195	-4.775337420065124	3.052734224449223e-5	3.4014301595695006e-4	2.33286385924764	ENSG00000268758	downregulated
ENSG00000211952	2.6960376573138856	1.7197957686389587	4.787820191703219	3.061842856126887e-5	3.405788450782537e-4	2.27868618592705	ENSG00000211952	upregulated
ENSG00000116133	1.1666509267145786	4.8985809485738185	4.775390590365572	3.130800204966605e-5	3.4660036530358347e-4	1.7968538128347014	ENSG00000116133	upregulated
ENSG00000112312	1.0386964016131799	3.1024860214863232	4.760633490175373	3.1808930148196324e-5	3.5139352321832265e-4	2.0406530499823035	ENSG00000112312	upregulated
ENSG00000189190	-1.1369944069424704	5.1635216802584685	-4.76643831886517	3.2162465177148254e-5	3.545414604815703e-4	1.7560963992313159	ENSG00000189190	downregulated
ENSG00000148346	2.08894033034511	0.9941678559226721	4.755655393442532	3.296920807682179e-5	3.6163537289356863e-4	2.257840208877985	ENSG00000148346	upregulated
ENSG00000144354	1.279282959444214	3.1968276121540415	4.7527678019042945	3.3143069584345025e-5	3.6277276588086895e-4	1.9923382999444863	ENSG00000144354	upregulated
ENSG00000158406	1.7532003723331604	1.967760365785999	4.75090489063376	3.3459052486668806e-5	3.6545767892129095e-4	2.1505465695070276	ENSG00000158406	upregulated
