ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-9609646	HCMV Infection	18/409	112/7708	2.1446517762722376e-5	1.9301865986450138e-4	1.5081219218930115e-4	H2BC4/H2AC12/H2BC7/H2BC21/H2BC12/H2BC11/H2BC8/H4C8/H3C10/H2AC6/H2AC11/H2AC8/H4C9/H2BC9/H2BC5/TUBA1C/TUBB1/H2AC16	18
R-HSA-5250913	Positive epigenetic regulation of rRNA expression	14/409	73/7708	2.3389911277042835e-5	2.0625649035210502e-4	1.611553695643143e-4	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-5578749	Transcriptional regulation by small RNAs	14/409	73/7708	2.3389911277042835e-5	2.0625649035210502e-4	1.611553695643143e-4	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-6804116	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	6/409	13/7708	2.6849325485927486e-5	2.3439461149214698e-4	1.831406622619054e-4	CCNA2/E2F1/E2F7/E2F8/CCNE2/CCNE1	6
R-HSA-69242	S Phase	22/409	160/7708	3.402740540879527e-5	2.9411806853344824e-4	2.2980467644501655e-4	UBE2C/CCNA2/CDT1/GINS2/CDCA5/CDC45/CDC6/CDC25A/ESCO2/MCM2/ORC1/E2F1/MCM4/FEN1/POLE2/MCM6/ORC6/GINS1/CABLES1/CCNE2/GMNN/CCNE1	22
R-HSA-73854	RNA Polymerase I Promoter Clearance	14/409	76/7708	3.757321163780998e-5	3.21582487841256e-4	2.512635824695652e-4	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-5693571	Nonhomologous End-Joining (NHEJ)	11/409	50/7708	4.686281812237141e-5	3.971965069983518e-4	3.103434455114632e-4	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2BC8/H4C8/BRCA1/H4C9/H2BC9/H2BC5	11
R-HSA-76009	Platelet Aggregation (Plug Formation)	8/409	27/7708	5.334028490574508e-5	4.47750660795341e-4	3.498431641591378e-4	ITGA2B/GP9/MPL/ITGB3/GP1BA/FN1/VWF/ADRA2A	8
R-HSA-3000178	ECM proteoglycans	9/409	36/7708	7.978284673163186e-5	6.570794829878737e-4	5.133990534468466e-4	SPARC/ITGA2B/ITGB5/ITGB3/LAMC1/ITGA7/FN1/ITGA9/ITGA2	9
R-HSA-445355	Smooth Muscle Contraction	9/409	36/7708	7.978284673163186e-5	6.570794829878737e-4	5.133990534468466e-4	MYL9/MYL6B/ITGA1/ITGB5/MYLK/CALD1/DYSF/PDE5A/GUCY1B1	9
R-HSA-373760	L1CAM interactions	14/409	82/7708	8.979958941526533e-5	7.326639398086601e-4	5.724558184072006e-4	KIF4A/ITGA2B/SCN1B/SPTB/ITGA1/ITGB3/LAMC1/TUBA1C/DNM1/TUBB1/ANK1/ITGA9/EPHB2/ITGA2	14
